prolific_id,session_id,model,questions,start_time,end_time,chat_duration
1234,fe815355-efcc-45c0-8961-c480dc6cc7ac,GPT-4_notfinetuned,0,2025-05-02 14:49:29,2025-05-02 14:49:35,0 min 6 sec
,de88e913-9108-4581-a9b7-95a4ec94608e,GPT-4_notfinetuned,2,2025-05-02 15:00:01,2025-05-02 15:01:01,1 min 0 sec
,e02275c3-82b8-457d-a996-8db71edd7c43,LLaMA_notfinetuned,2,2025-05-02 15:09:50,2025-05-02 15:15:58,6 min 8 sec
1234,5eeb6d50-02a9-40de-a478-d5e52bc50563,GPT-4_notfinetuned,1,2025-05-02 15:16:02,2025-05-02 15:16:13,0 min 11 sec
135,1bcd5a61-6352-4bbd-98b9-a39a5eca965f,LLaMA_notfinetuned,2,2025-05-02 15:16:18,2025-05-02 15:18:21,2 min 3 sec
189,7329050b-31dc-45a4-adb9-5e0db6bd3a72,GPT-4_notfinetuned,1,2025-05-02 15:18:26,2025-05-02 15:18:44,0 min 18 sec
899,394d0a22-fd62-4db5-b8c1-a2608567955e,LLaMA_notfinetuned,1,2025-05-02 15:18:48,2025-05-02 15:23:51,5 min 3 sec
,e3f97727-110b-4668-a2ae-59c4ab163e92,GPT-4_notfinetuned,1,2025-05-02 15:24:02,2025-05-02 15:28:22,4 min 20 sec
890,c3179c02-3d3c-4d20-8119-ec5ae561bd2d,LLaMA_notfinetuned,1,2025-05-02 15:42:14,2025-05-02 15:42:27,0 min 13 sec
,c5873ba9-4d12-4ae3-898f-62cb6d29c3f9,GPT-4_notfinetuned,1,2025-05-02 15:44:02,2025-05-02 15:49:16,5 min 14 sec
,0d99371e-e2c2-4daf-ad3b-5f5cb5d89a96,GPT-4_notfinetuned,1,2025-05-02 15:49:27,2025-05-02 15:49:34,0 min 7 sec
1890,98a1d7d0-958e-4c82-9cd5-0e89821aa6d3,LLaMA_notfinetuned,1,2025-05-02 15:49:39,2025-05-02 17:09:59,80 min 20 sec
112,1159d3ed-51e3-4b8c-9619-0a62109c66a7,GPT-4_notfinetuned,5,2025-05-02 17:10:04,2025-05-05 16:39:32,4289 min 28 sec
,dffe48ac-1804-4f60-a2e5-e18afa27d692,GPT-4_notfinetuned,0,2025-05-05 16:39:54,2025-05-05 16:39:56,0 min 2 sec
,3c5d98ab-a2d9-4b87-9ca4-b668ad16e4c0,LLaMA_notfinetuned,4,2025-05-05 16:40:06,2025-05-05 16:44:33,4 min 27 sec
,2556c8d9-10fd-4ac2-b868-4d87e27508bd,GPT-4_notfinetuned,0,2025-05-05 16:44:45,2025-05-05 16:44:47,0 min 2 sec
,afb23748-bddd-4c30-8881-79faba0e617f,LLaMA_notfinetuned,0,2025-05-05 16:44:57,,
